FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355441246.tiff,cfc_capture_1719355441246_tiff,1719355441246,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355444519.tiff,cfc_capture_1719355444519_tiff,1719355444519,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355447780.tiff,cfc_capture_1719355447780_tiff,1719355447780,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355450996.tiff,cfc_capture_1719355450996_tiff,1719355450996,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355454296.tiff,cfc_capture_1719355454296_tiff,1719355454296,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355457560.tiff,cfc_capture_1719355457560_tiff,1719355457560,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355460895.tiff,cfc_capture_1719355460895_tiff,1719355460895,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355464171.tiff,cfc_capture_1719355464171_tiff,1719355464171,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355467475.tiff,cfc_capture_1719355467475_tiff,1719355467475,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355470746.tiff,cfc_capture_1719355470746_tiff,1719355470746,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355473984.tiff,cfc_capture_1719355473984_tiff,1719355473984,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355477276.tiff,cfc_capture_1719355477276_tiff,1719355477276,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355480584.tiff,cfc_capture_1719355480584_tiff,1719355480584,8,4
