FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS)
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352672229.tiff,cfc_capture_1719352672229_tiff,1719352672229,44
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352675473.tiff,cfc_capture_1719352675473_tiff,1719352675473,44
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_169_INTTIME_00p2/cfc_capture_1719352677176.tiff,cfc_capture_1719352677176_tiff,1719352677176,41
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352678716.tiff,cfc_capture_1719352678716_tiff,1719352678716,44
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_169_INTTIME_00p2/cfc_capture_1719352680453.tiff,cfc_capture_1719352680453_tiff,1719352680453,41
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_169_INTTIME_00p2/cfc_capture_1719352683677.tiff,cfc_capture_1719352683677_tiff,1719352683677,41
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_169_INTTIME_00p2/cfc_capture_1719352686940.tiff,cfc_capture_1719352686940_tiff,1719352686940,41
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_50/cfc_capture_1719352690085.tiff,cfc_capture_1719352690085_tiff,1719352690085,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CLOSE_UP/20250207_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352690922.tiff,cfc_capture_1719352690922_tiff,1719352690922,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_50/cfc_capture_1719352693391.tiff,cfc_capture_1719352693391_tiff,1719352693391,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_40/cfc_capture_1719352694037.tiff,cfc_capture_1719352694037_tiff,1719352694037,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CLOSE_UP/20250207_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352694205.tiff,cfc_capture_1719352694205_tiff,1719352694205,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_50/cfc_capture_1719352696653.tiff,cfc_capture_1719352696653_tiff,1719352696653,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_40/cfc_capture_1719352697305.tiff,cfc_capture_1719352697305_tiff,1719352697305,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CLOSE_UP/20250207_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352697443.tiff,cfc_capture_1719352697443_tiff,1719352697443,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_40/cfc_capture_1719352700518.tiff,cfc_capture_1719352700518_tiff,1719352700518,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CLOSE_UP/20250207_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352700680.tiff,cfc_capture_1719352700680_tiff,1719352700680,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_10_INTTIME_20/cfc_capture_1719352708434.tiff,cfc_capture_1719352708434_tiff,1719352708434,20
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250205_FILTPOS_130_INTTIME_01p5/cfc_capture_1719352711176.tiff,cfc_capture_1719352711176_tiff,1719352711176,31
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_10_INTTIME_20/cfc_capture_1719352711719.tiff,cfc_capture_1719352711719_tiff,1719352711719,20
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250205_FILTPOS_130_INTTIME_01p5/cfc_capture_1719352714441.tiff,cfc_capture_1719352714441_tiff,1719352714441,27
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_10_INTTIME_20/cfc_capture_1719352714961.tiff,cfc_capture_1719352714961_tiff,1719352714961,20
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250205_FILTPOS_130_INTTIME_01p5/cfc_capture_1719352717746.tiff,cfc_capture_1719352717746_tiff,1719352717746,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_10_INTTIME_20/cfc_capture_1719352718232.tiff,cfc_capture_1719352718232_tiff,1719352718232,20
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_10_INTTIME_20/cfc_capture_1719352721520.tiff,cfc_capture_1719352721520_tiff,1719352721520,20
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352730800.tiff,cfc_capture_1719352730800_tiff,1719352730800,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352734038.tiff,cfc_capture_1719352734038_tiff,1719352734038,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352734728.tiff,cfc_capture_1719352734728_tiff,1719352734728,47
